"COUNTRY";"AREA";"YEAR";"MONTH";"DAY";"HAUL_NUMBER";"Longitude";"Latitude"
"ESP";1;2007;4;25;27;-2.43591666666667;36.6453333333333
"ESP";1;2007;5;25;28;-2.301;36.7140833333333
"ESP";1;2007;5;25;29;-2.2755;36.76575
"ESP";1;2007;5;25;30;-2.40233333333333;36.7565
"ESP";1;2007;5;26;31;-2.54675;36.7081666666667
"ESP";1;2007;5;26;32;-2.65766666666667;36.6640833333333
"ESP";1;2007;5;26;33;-2.77725;36.6355833333333
"ESP";1;2007;5;26;34;-2.71883333333333;36.5824166666667
"ESP";1;2007;5;26;35;-2.77658333333333;36.47825
"ESP";1;2007;5;27;36;-2.52816666666667;36.5771666666667
"ESP";1;2007;5;27;37;-1.864;36.86275
"ESP";1;2007;5;28;38;-1.77683333333333;37.1185
"ESP";1;2007;5;28;39;-1.66991666666667;37.2176666666667
"ESP";1;2007;5;28;40;-1.55983333333333;37.3651666666667
"ESP";1;2007;5;28;41;-1.5535;37.35875
"ESP";1;2007;5;28;42;-1.38975;37.41175
"ESP";1;2007;5;29;43;-1.16366666666667;37.51025
"ESP";1;2007;5;29;44;-0.940166666666667;37.5396666666667
"ESP";1;2007;5;29;45;-0.828;37.5338333333333
"ESP";1;2008;5;6;1;-4.29475;36.68675
"ESP";1;2008;5;6;2;-4.3525;36.6115
"ESP";1;2008;5;6;3;-4.46625;36.58225
"ESP";1;2008;5;6;4;-4.56775;36.55525
"ESP";1;2008;5;7;6;-4.94775;36.2570833333333
"ESP";1;2008;5;7;7;-5.0095;36.3124166666667
"ESP";1;2008;5;7;8;-5.14225;36.33625
"ESP";1;2008;5;7;9;-5.21383333333333;36.3431666666667
"ESP";1;2008;5;8;11;-4.47833333333333;36.3953333333333
"ESP";1;2008;5;8;12;-4.27141666666667;36.498
"ESP";1;2008;5;8;13;-4.24125;36.5765
"ESP";1;2008;5;9;14;-3.86283333333333;36.5714166666667
"ESP";1;2008;5;9;15;-3.729;36.6059166666667
"ESP";1;2008;5;9;16;-3.763;36.6500833333333
"ESP";1;2008;5;9;17;-3.645;36.6621666666667
"ESP";1;2008;5;9;18;-3.58708333333333;36.70975
"ESP";1;2008;5;11;19;-2.5395;36.7125833333333
"ESP";1;2008;5;11;20;-2.65575;36.6651666666667
"ESP";1;2008;5;11;21;-2.7745;36.6354166666667
"ESP";1;2008;5;12;22;-3.29458333333333;36.7243333333333
"ESP";1;2008;5;12;23;-3.26816666666667;36.7005
"ESP";1;2008;5;12;24;-3.05208333333333;36.6400833333333
"ESP";1;2008;5;12;25;-3.04091666666667;36.5533333333333
"ESP";1;2008;5;12;26;-2.973;36.4446666666667
"ESP";1;2008;5;14;32;-2.26325;36.7589166666667
"ESP";1;2008;5;14;33;-2.31675;36.71025
"ESP";1;2008;5;14;34;-2.52233333333333;36.57775
"ESP";1;2008;5;14;35;-2.68141666666667;36.568
"ESP";1;2008;5;15;36;-1.77358333333333;37.1236666666667
"ESP";1;2008;5;15;37;-1.67175;37.2161666666667
"ESP";1;2008;5;15;38;-1.55625;37.3666666666667
"ESP";1;2008;5;15;39;-1.55333333333333;37.3585
"ESP";1;2008;5;15;40;-1.40575;37.3838333333333
"ESP";1;2008;5;16;41;-1.18133333333333;37.5075
"ESP";1;2008;5;16;42;-0.93925;37.5399166666667
"ESP";1;2009;4;8;1;-4.25875;36.5659166666667
"ESP";1;2009;4;8;2;-4.54008333333333;36.552
"ESP";1;2009;4;8;3;-4.43041666666667;36.5559166666667
"ESP";1;2009;4;8;4;-4.324;36.6805833333333
"ESP";1;2009;4;9;5;-4.76041666666667;36.3060833333333
"ESP";1;2009;4;9;6;-4.96333333333333;36.2501666666667
"ESP";1;2009;4;9;7;-5.00641666666667;36.3130833333333
"ESP";1;2009;4;9;8;-5.14833333333333;36.3385833333333
"ESP";1;2009;4;9;9;-5.21283333333333;36.3416666666667
"ESP";1;2009;4;10;10;-4.84875;36.4525
"ESP";1;2009;4;10;11;-4.76683333333333;36.4270833333333
"ESP";1;2009;4;10;12;-4.731;36.45625
"ESP";1;2009;4;10;13;-4.78483333333333;36.39525
"ESP";1;2009;4;10;14;-4.783;36.3568333333333
"ESP";1;2009;4;11;15;-2.6525;36.6671666666667
"ESP";1;2009;4;11;16;-2.585;36.7226666666667
"ESP";1;2009;4;11;17;-2.54666666666667;36.7084166666667
"ESP";1;2009;4;11;18;-2.4025;36.7563333333333
"ESP";1;2009;4;12;19;-2.27316666666667;36.7644166666667
"ESP";1;2009;4;12;20;-2.31016666666667;36.712
"ESP";1;2009;4;12;21;-2.459;36.6376666666667
"ESP";1;2009;4;12;22;-2.52166666666667;36.578
"ESP";1;2009;4;15;31;-3.31333333333333;36.71825
"ESP";1;2009;4;15;32;-3.25;36.7045833333333
"ESP";1;2009;4;15;33;-3.29783333333333;36.676
"ESP";1;2009;4;15;34;-3.21466666666667;36.6583333333333
"ESP";1;2009;4;15;35;-3.05916666666667;36.558
"ESP";1;2009;4;16;36;-3.653;36.6226666666667
"ESP";1;2009;4;16;37;-3.79675;36.6563333333333
"ESP";1;2009;4;16;38;-4.05733333333333;36.6196666666667
"ESP";1;2009;4;16;39;-4.26208333333333;36.564
"ESP";1;2010;5;16;1;-4.33808333333333;36.621
"ESP";1;2010;5;16;2;-4.2765;36.6964166666667
"ESP";1;2010;5;17;3;-4.46041666666667;36.5848333333333
"ESP";1;2010;5;17;4;-4.56183333333333;36.5569166666667
"ESP";1;2010;5;17;5;-4.26366666666667;36.5060833333333
"ESP";1;2010;5;17;6;-4.2145;36.4750833333333
